Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.685,"$2,949","$2,700","$2,500","$3,200",SIT,2017,No,SIT GES 2017,Bachelor of Arts with Honours in Communication Design | SIT 2017
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.872,"$2,841","$2,700","$2,500","$3,000",SIT,2017,No,SIT GES 2017,Bachelor of Arts with Honours in Interior Design | SIT 2017
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.621,"$3,290","$3,255","$2,975","$3,600",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2017
Bachelor of Engineering with Honours in Electrical Power Engineering,Newcastle University,0.889,"$3,269","$3,200","$3,000","$3,450",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2017
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.885,"$3,541","$3,500","$3,000","$4,000",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Marine Engineering | SIT 2017
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.857,"$3,145","$3,000","$2,800","$3,350",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2017
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,0.955,"$3,537","$3,300","$3,200","$3,500",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Naval Architecture | SIT 2017
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.867,"$3,866","$3,300","$3,300","$3,950",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2017
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.791,"$2,980","$2,700","$2,475","$3,200",SIT,2017,No,SIT GES 2017,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2017
Bachelor of Science in Chemical Engineering,Technische Universität München,0.741,"$3,301","$3,200","$3,000","$3,375",SIT,2017,No,SIT GES 2017,Bachelor of Science in Chemical Engineering | SIT 2017
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.828,"$3,591","$3,400","$3,000","$4,000",SIT,2017,No,SIT GES 2017,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2017
Bachelor of Professional Studies in Culinary Arts Management,The Culinary Institute of America,0.545,"$2,598","$2,300","$2,200","$3,259",SIT,2017,No,SIT GES 2017,Bachelor of Professional Studies in Culinary Arts Management | SIT 2017
Bachelor in Science (Diagnostic Radiography),Trinity College Dublin,0.000,$0,$0,$0,$0,SIT,2017,Suppressed,SIT GES 2017,Bachelor in Science (Diagnostic Radiography) | SIT 2017
Bachelor in Science (Occupational Therapy),Trinity College Dublin,0.971,"$3,258","$3,300","$3,020","$3,450",SIT,2017,No,SIT GES 2017,Bachelor in Science (Occupational Therapy) | SIT 2017
Bachelor in Science (Physiotherapy),Trinity College Dublin,0.968,"$3,489","$3,400","$3,300","$3,500",SIT,2017,No,SIT GES 2017,Bachelor in Science (Physiotherapy) | SIT 2017
Bachelor in Science (Radiation Therapy),Trinity College Dublin,0.000,$0,$0,$0,$0,SIT,2017,Suppressed,SIT GES 2017,Bachelor in Science (Radiation Therapy) | SIT 2017
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.656,"$3,481","$3,200","$2,950","$3,700",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2017
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.525,"$3,280","$3,125","$2,625","$3,650",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2017
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.879,"$3,670","$3,200","$3,000","$3,700",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2017
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.865,"$3,595","$3,400","$3,000","$4,000",SIT,2017,No,SIT GES 2017,Bachelor of Engineering with Honours in Mechatronics | SIT 2017
Bachelor of Science with Honours in Computing Science,University of Glasgow,0.859,"$3,724","$3,600","$3,300","$4,200",SIT,2017,No,SIT GES 2017,Bachelor of Science with Honours in Computing Science | SIT 2017
Bachelor of Science with Honours in Nursing Practice,University of Manchester,0.965,"$3,741","$3,650","$3,600","$3,900",SIT,2017,No,SIT GES 2017,Bachelor of Science with Honours in Nursing Practice | SIT 2017
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.695,"$3,825","$3,800","$3,050","$4,160",SIT,2017,No,SIT GES 2017,Bachelor of Arts with Honours in Criminology & Security | SIT 2017
Bachelor of Science in Early Childhood Education,Wheelock College,0.929,"$2,890","$2,900","$2,800","$3,000",SIT,2017,No,SIT GES 2017,Bachelor of Science in Early Childhood Education | SIT 2017
Bacherlor of Accountancy with Honours,Singapore Institute of Technology,0.921,"$3,113","$3,088","$2,975","$3,250",SIT,2017,No,SIT GES 2017,Bacherlor of Accountancy with Honours | SIT 2017
Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,0.842,"$2,829","$2,800","$2,500","$3,100",SIT,2017,No,SIT GES 2017,Bachelor of Hospitality Business with Honours | SIT 2017
Accountancy,Nanyang Business School,0.922,"$3,245","$3,000","$3,000","$3,200",NTU,2018,No,NTU GES 2018,Accountancy | NTU 2018
Accountancy & Business,Nanyang Business School,0.977,"$4,456","$4,000","$3,600","$4,633",NTU,2018,No,NTU GES 2018,Accountancy & Business | NTU 2018
Business,Nanyang Business School,0.843,"$3,776","$3,500","$3,200","$4,000",NTU,2018,No,NTU GES 2018,Business | NTU 2018
Business and Computing,Nanyang Business School,1.000,"$4,572","$4,575","$4,200","$4,900",NTU,2018,No,NTU GES 2018,Business and Computing | NTU 2018
Aerospace Engineering,College of Engineering,0.884,"$3,873","$3,800","$3,365","$4,280",NTU,2018,No,NTU GES 2018,Aerospace Engineering | NTU 2018
Aerospace Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Aerospace Engineering and Economics | NTU 2018
Bioengineering,College of Engineering,0.662,"$3,660","$3,500","$3,200","$4,000",NTU,2018,No,NTU GES 2018,Bioengineering | NTU 2018
Business and Computer Engineering,College of Engineering,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Business and Computer Engineering | NTU 2018
Chemical & Biomolecular Engineering,College of Engineering,0.860,"$3,782","$3,600","$3,300","$4,200",NTU,2018,No,NTU GES 2018,Chemical & Biomolecular Engineering | NTU 2018
Chemical & Biomolecular Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Chemical & Biomolecular Engineering and Economics | NTU 2018
Civil Engineering,College of Engineering,0.965,"$3,597","$3,500","$3,200","$3,816",NTU,2018,No,NTU GES 2018,Civil Engineering | NTU 2018
Computer Engineering,College of Engineering,0.958,"$3,865","$3,775","$3,400","$4,200",NTU,2018,No,NTU GES 2018,Computer Engineering | NTU 2018
Computer Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Computer Engineering and Economics | NTU 2018
Computer Science,College of Engineering,0.930,"$4,062","$4,000","$3,500","$4,500",NTU,2018,No,NTU GES 2018,Computer Science | NTU 2018
Electrical & Electronic Engineering,College of Engineering,0.910,"$3,772","$3,600","$3,323","$4,000",NTU,2018,No,NTU GES 2018,Electrical & Electronic Engineering | NTU 2018
Environmental Engineering,College of Engineering,0.816,"$3,485","$3,400","$3,000","$3,500",NTU,2018,No,NTU GES 2018,Environmental Engineering | NTU 2018
Environmental Engineering and Economics,College of Engineering,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Environmental Engineering and Economics | NTU 2018
Information Engineering & Media,College of Engineering,0.890,"$3,796","$3,750","$3,500","$4,140",NTU,2018,No,NTU GES 2018,Information Engineering & Media | NTU 2018
Maritime Studies,College of Engineering,0.900,"$3,409","$3,350","$3,000","$3,640",NTU,2018,No,NTU GES 2018,Maritime Studies | NTU 2018
Materials Engineering,College of Engineering,0.819,"$3,673","$3,500","$3,200","$4,000",NTU,2018,No,NTU GES 2018,Materials Engineering | NTU 2018
Mechanical Engineering,College of Engineering,0.811,"$3,653","$3,500","$3,200","$4,000",NTU,2018,No,NTU GES 2018,Mechanical Engineering | NTU 2018
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.538,"$2,986","$3,000","$2,600","$3,300",NTU,2018,No,NTU GES 2018,"Art, Design & Media | NTU 2018"
Chinese,"College of Humanities, Arts, & Social Sciences",0.763,"$3,260","$3,500","$3,000","$3,518",NTU,2018,No,NTU GES 2018,Chinese | NTU 2018
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.842,"$3,166","$3,000","$2,750","$3,500",NTU,2018,No,NTU GES 2018,Communication Studies | NTU 2018
Economics,"College of Humanities, Arts, & Social Sciences",0.840,"$3,755","$3,536","$3,200","$3,959",NTU,2018,No,NTU GES 2018,Economics | NTU 2018
English,"College of Humanities, Arts, & Social Sciences",0.592,"$3,124","$3,000","$2,600","$3,500",NTU,2018,No,NTU GES 2018,English | NTU 2018
History,"College of Humanities, Arts, & Social Sciences",0.564,"$3,719","$3,500","$3,260","$4,150",NTU,2018,No,NTU GES 2018,History | NTU 2018
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.458,"$3,091","$3,200","$2,900","$3,500",NTU,2018,No,NTU GES 2018,Linguistics & Multilingual Studies | NTU 2018
Philosophy,"College of Humanities, Arts, & Social Sciences",0.760,"$3,126","$3,000","$2,550","$3,500",NTU,2018,No,NTU GES 2018,Philosophy | NTU 2018
Psychology,"College of Humanities, Arts, & Social Sciences",0.780,"$3,389","$3,380","$3,000","$3,684",NTU,2018,No,NTU GES 2018,Psychology | NTU 2018
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.710,"$3,619","$3,350","$3,050","$4,018",NTU,2018,No,NTU GES 2018,Public Policy & Global Affairs | NTU 2018
Sociology,"College of Humanities, Arts, & Social Sciences",0.604,"$3,374","$3,220","$3,000","$3,841",NTU,2018,No,NTU GES 2018,Sociology | NTU 2018
Biological Sciences,College of Science,0.670,"$3,319","$3,250","$3,035","$3,650",NTU,2018,No,NTU GES 2018,Biological Sciences | NTU 2018
Biomedical Sciences,College of Science,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Biomedical Sciences | NTU 2018
Biomedical Sciences & Chinese Medicine,College of Science,0.818,"$2,953","$3,000","$2,700","$3,100",NTU,2018,No,NTU GES 2018,Biomedical Sciences & Chinese Medicine | NTU 2018
Chemistry & Biological Chemistry,College of Science,0.639,"$3,427","$3,200","$3,000","$3,725",NTU,2018,No,NTU GES 2018,Chemistry & Biological Chemistry | NTU 2018
Environmental Earth Systems Sciences,College of Science,0.571,"$3,562","$3,500","$3,200","$4,000",NTU,2018,No,NTU GES 2018,Environmental Earth Systems Sciences | NTU 2018
Mathematical Sciences,College of Science,0.759,"$3,744","$3,650","$3,360","$4,000",NTU,2018,No,NTU GES 2018,Mathematical Sciences | NTU 2018
Mathematics & Economics,College of Science,0.833,"$3,569","$3,600","$3,200","$4,000",NTU,2018,No,NTU GES 2018,Mathematics & Economics | NTU 2018
Physics & Applied Physics,College of Science,0.741,"$3,576","$3,400","$3,025","$3,800",NTU,2018,No,NTU GES 2018,Physics & Applied Physics | NTU 2018
Arts (With Education),National Institute of Education (NIE),0.992,"$3,751","$3,800","$3,600","$3,806",NTU,2018,No,NTU GES 2018,Arts (With Education) | NTU 2018
Science (With Education),National Institute of Education (NIE),1.000,"$3,738","$3,800","$3,600","$4,000",NTU,2018,No,NTU GES 2018,Science (With Education) | NTU 2018
Sports Science & Management,Sports Science & Management,0.611,"$3,382","$3,300","$3,000","$3,600",NTU,2018,No,NTU GES 2018,Sports Science & Management | NTU 2018
Medicine,Lee Kong Chian School of Medicine,0.000,$0,$0,$0,$0,NTU,2018,Suppressed,NTU GES 2018,Medicine | NTU 2018
Bachelor of Arts,Faculty of Arts & Social Sciences,0.566,"$3,322","$3,200","$2,800","$3,600",NUS,2018,No,NUS GES 2018,Bachelor of Arts | NUS 2018
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.608,"$3,377","$3,300","$3,000","$3,600",NUS,2018,No,NUS GES 2018,Bachelor of Arts (Hons) | NUS 2018
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.745,"$3,526","$3,400","$3,200","$3,800",NUS,2018,No,NUS GES 2018,Bachelor of Social Sciences | NUS 2018
Bachelor of Dental Surgery,Faculty of Dentistry,1.000,"$4,228","$4,050","$4,000","$4,450",NUS,2018,No,NUS GES 2018,Bachelor of Dental Surgery | NUS 2018
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.698,"$3,444","$3,389","$3,280","$3,650",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Biomedical Engineering) | NUS 2018
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.841,"$4,050","$4,000","$3,500","$4,300",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Chemical Engineering) | NUS 2018
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.898,"$3,627","$3,500","$3,300","$3,900",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Civil Engineering) | NUS 2018
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.834,"$3,982","$3,700","$3,400","$4,546",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Electrical Engineering) | NUS 2018
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Engineering (Engineering Science) | NUS 2018
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.746,"$3,518","$3,400","$3,000","$3,868",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Environmental Engineering) | NUS 2018
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.878,"$4,051","$3,895","$3,600","$4,500",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2018
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.864,"$3,794","$3,600","$3,500","$4,305",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Materials Science & Engineering) | NUS 2018
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.869,"$3,877","$3,700","$3,300","$4,100",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Mechanical Engineering) | NUS 2018
Bachelor of Laws,Faculty of Law,0.926,"$5,263","$5,500","$4,500","$5,840",NUS,2018,No,NUS GES 2018,Bachelor of Laws | NUS 2018
Bachelor of Science,Faculty of Science,0.472,"$3,289","$3,100","$2,900","$3,850",NUS,2018,No,NUS GES 2018,Bachelor of Science | NUS 2018
Bachelor of Science (Hons),Faculty of Science,0.728,"$3,460","$3,400","$3,000","$3,725",NUS,2018,No,NUS GES 2018,Bachelor of Science (Hons) | NUS 2018
Bachelor of Science (Computational Biology),Faculty of Science,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Science (Computational Biology) | NUS 2018
Bachelor of Science (Pharmacy),Faculty of Science,0.932,"$3,723","$3,650","$3,500","$3,900",NUS,2018,No,NUS GES 2018,Bachelor of Science (Pharmacy) | NUS 2018
Bachelor of Business Administration,NUS Business School,0.848,"$3,732","$3,225","$3,000","$3,750",NUS,2018,No,NUS GES 2018,Bachelor of Business Administration | NUS 2018
Bachelor of Business Administration (Hons),NUS Business School,0.909,"$4,424","$3,895","$3,300","$4,748",NUS,2018,No,NUS GES 2018,Bachelor of Business Administration (Hons) | NUS 2018
Bachelor of Business Administration (Accountancy),NUS Business School,0.952,"$3,522","$3,020","$2,700","$3,500",NUS,2018,No,NUS GES 2018,Bachelor of Business Administration (Accountancy) | NUS 2018
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.953,"$3,683","$3,200","$3,000","$4,000",NUS,2018,No,NUS GES 2018,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2018
Bachelor of Computing (Communications & Media),School of Computing,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Computing (Communications & Media) | NUS 2018
Bachelor of Computing (Computational Biology),School of Computing,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Computing (Computational Biology) | NUS 2018
Bachelor of Computing (Computer Science),School of Computing,0.918,"$4,658","$4,320","$3,900","$5,000",NUS,2018,No,NUS GES 2018,Bachelor of Computing (Computer Science) | NUS 2018
Bachelor of Computing (Electronic Commerce),School of Computing,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Computing (Electronic Commerce) | NUS 2018
Bachelor of Computing (Information Security),School of Computing,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Computing (Information Security) | NUS 2018
Bachelor of Computing (Information Systems),School of Computing,0.953,"$4,472","$4,458","$4,000","$5,000",NUS,2018,No,NUS GES 2018,Bachelor of Computing (Information Systems) | NUS 2018
Bachelor of Science (Business Analytics),School of Computing,0.935,"$4,499","$4,500","$4,000","$5,000",NUS,2018,No,NUS GES 2018,Bachelor of Science (Business Analytics) | NUS 2018
Bachelor of Arts (Architecture),School of Design & Environment,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Arts (Architecture) | NUS 2018
Bachelor of Arts (Industrial Design),School of Design & Environment,0.696,"$3,371","$3,250","$3,000","$3,800",NUS,2018,No,NUS GES 2018,Bachelor of Arts (Industrial Design) | NUS 2018
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.846,"$3,237","$3,060","$3,000","$3,300",NUS,2018,No,NUS GES 2018,Bachelor of Science (Project & Facilities Management) | NUS 2018
Bachelor of Science (Real Estate),School of Design & Environment,0.851,"$3,372","$3,300","$3,000","$3,600",NUS,2018,No,NUS GES 2018,Bachelor of Science (Real Estate) | NUS 2018
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,0.000,$0,$0,$0,$0,NUS,2018,Suppressed,NUS GES 2018,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2018
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.946,"$3,469","$3,450","$3,300","$3,500",NUS,2018,No,NUS GES 2018,Bachelor of Science (Nursing) | NUS 2018
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.980,"$3,546","$3,550","$3,400","$3,750",NUS,2018,No,NUS GES 2018,Bachelor of Science (Nursing) (Hons) | NUS 2018
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.238,"$2,100","$1,800","$1,500","$2,700",NUS,2018,No,NUS GES 2018,Bachelor of Music | NUS 2018
Bachelor of Arts with Honours,Yale-NUS College,0.811,"$4,381","$3,630","$3,275","$4,642",NUS,2018,No,NUS GES 2018,Bachelor of Arts with Honours | NUS 2018
Bachelor of Science with Honours,Yale-NUS College,0.789,"$5,136","$4,800","$3,600","$6,435",NUS,2018,No,NUS GES 2018,Bachelor of Science with Honours | NUS 2018
Bachelor of Engineering (Computer Engineering),Multidisciplinary Programme,0.843,"$4,188","$3,975","$3,500","$4,900",NUS,2018,No,NUS GES 2018,Bachelor of Engineering (Computer Engineering) | NUS 2018
Bachelor of Environmental Studies,Multidisciplinary Programme,0.553,"$3,385","$3,414","$3,000","$3,600",NUS,2018,No,NUS GES 2018,Bachelor of Environmental Studies | NUS 2018
Accountancy,School of Accountancy,0.923,"$3,607","$3,000","$3,000","$3,650",SMU,2018,No,SMU GES 2018,Accountancy | SMU 2018
Accountancy (cum laude & above),School of Accountancy,0.951,"$4,439","$3,550","$3,013","$4,773",SMU,2018,No,SMU GES 2018,Accountancy (cum laude & above) | SMU 2018
Business Management,School of Business,0.865,"$4,133","$3,700","$3,250","$4,500",SMU,2018,No,SMU GES 2018,Business Management | SMU 2018
Business Management (cum laude & above),School of Business,0.956,"$4,544","$4,000","$3,500","$4,800",SMU,2018,No,SMU GES 2018,Business Management (cum laude & above) | SMU 2018
Economics,School of Economics,0.856,"$4,140","$3,700","$3,200","$4,600",SMU,2018,No,SMU GES 2018,Economics | SMU 2018
Economics (cum laude & above),School of Economics,0.895,"$4,721","$4,000","$3,500","$5,200",SMU,2018,No,SMU GES 2018,Economics (cum laude & above) | SMU 2018
Information Systems,School of Information Systems,0.895,"$4,160","$4,000","$3,600","$4,600",SMU,2018,No,SMU GES 2018,Information Systems | SMU 2018
Information Systems (cum laude & above),School of Information Systems,0.972,"$4,659","$4,685","$4,200","$5,000",SMU,2018,No,SMU GES 2018,Information Systems (cum laude & above) | SMU 2018
Social Sciences,School of Social Sciences,0.744,"$3,409","$3,210","$3,000","$3,710",SMU,2018,No,SMU GES 2018,Social Sciences | SMU 2018
Social Sciences (cum laude & above),School of Social Sciences,0.789,"$3,880","$3,600","$3,200","$4,100",SMU,2018,No,SMU GES 2018,Social Sciences (cum laude & above) | SMU 2018
Law,School of Law,0.908,"$4,856","$4,500","$4,050","$5,600",SMU,2018,No,SMU GES 2018,Law | SMU 2018
Law (cum laude & above),School of Law,0.926,"$5,256","$5,513","$4,500","$6,000",SMU,2018,No,SMU GES 2018,Law (cum laude & above) | SMU 2018
Bachelor of Accountancy,SUSS,0.975,"$2,879","$3,000","$2,700","$3,000",SUSS,2018,No,SUSS GES 2018,Bachelor of Accountancy | SUSS 2018
Bachelor of Science in Finance,SUSS,0.840,"$3,393","$3,400","$3,200","$3,500",SUSS,2018,No,SUSS GES 2018,Bachelor of Science in Finance | SUSS 2018
Bachelor of Science in Marketing,SUSS,0.840,"$3,023","$3,000","$2,650","$3,245",SUSS,2018,No,SUSS GES 2018,Bachelor of Science in Marketing | SUSS 2018
Bachelor of Engineering (Engineering Product Development),SUTD,0.863,"$3,826","$3,700","$3,500","$4,000",SUTD,2018,No,SUTD GES 2018,Bachelor of Engineering (Engineering Product Development) | SUTD 2018
Bachelor of Engineering (Information Systems Technology & Design),SUTD,0.933,"$4,544","$4,400","$4,000","$5,000",SUTD,2018,No,SUTD GES 2018,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2018
Bachelor of Engineering (Engineering Systems & Design),SUTD,0.900,"$3,893","$3,800","$3,600","$4,000",SUTD,2018,No,SUTD GES 2018,Bachelor of Engineering (Engineering Systems & Design) | SUTD 2018
Bachelor of Science (Architecture & Sustainable Design),SUTD,0.885,"$3,945","$4,000","$3,600","$4,215",SUTD,2018,No,SUTD GES 2018,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2018
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.867,"$3,324","$3,300","$3,196","$3,500",SIT,2018,No,SIT GES 2018,Bachelor of Arts in Game Design | SIT 2018
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.529,"$2,861","$2,800","$2,600","$3,000",SIT,2018,No,SIT GES 2018,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2018
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,0.895,"$3,576","$3,600","$3,300","$4,000",SIT,2018,No,SIT GES 2018,Bachelor of Science in Computer Science & Game Design | SIT 2018
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.968,"$4,088","$4,016","$3,830","$4,200",SIT,2018,No,SIT GES 2018,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2018
Bachelor of Engineering with Honours in Chemical Engineering,Newcastle University,0.769,"$3,451","$3,300","$3,000","$3,600",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2018
Bachelor of Engineering with Honours in Electrical Power Engineering,Newcastle University,0.818,"$3,438","$3,343","$3,050","$3,500",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2018
Bachelor of Engineering with Honours in Marine Engineering,Newcastle University,0.943,"$3,439","$3,250","$3,000","$3,600",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Marine Engineering | SIT 2018
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,Newcastle University,0.823,"$3,484","$3,253","$3,100","$3,600",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2018
Bachelor of Engineering with Honours in Naval Architecture,Newcastle University,1.000,"$3,479","$3,400","$3,300","$3,800",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Naval Architecture | SIT 2018
Bachelor of Engineering with Honours in Offshore Engineering,Newcastle University,0.846,"$3,545","$3,510","$3,100","$3,850",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2018
Bachelor of Science with Honours in Food & Human Nutrition,Newcastle University,0.692,"$2,895","$2,900","$2,625","$3,200",SIT,2018,No,SIT GES 2018,Bachelor of Science with Honours in Food & Human Nutrition | SIT 2018
Bachelor of Accountancy with Honours,Singapore Institute of Technology,0.915,"$3,216","$3,075","$3,000","$3,250",SIT,2018,No,SIT GES 2018,Bachelor of Accountancy with Honours | SIT 2018
Bachelor of Engineering with Honours in Information & Communications Technology (Information Security),Singapore Institute of Technology,1.000,"$4,116","$4,045","$4,000","$4,400",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) | SIT 2018
Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),Singapore Institute of Technology,0.957,"$3,914","$4,000","$3,600","$4,300",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering) | SIT 2018
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),Singapore Institute of Technology,0.966,"$3,688","$3,550","$3,400","$3,800",SIT,2018,No,SIT GES 2018,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land) | SIT 2018
Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,0.816,"$2,991","$2,825","$2,600","$3,175",SIT,2018,No,SIT GES 2018,Bachelor of Hospitality Business with Honours | SIT 2018
Bachelor of Science with Honours in Nursing,University of Glasgow,0.907,"$3,536","$3,500","$3,350","$3,800",SIT,2018,No,SIT GES 2018,Bachelor of Science with Honours in Nursing | SIT 2018
Bachelor in Science (Diagnostic Radiography),Trinity College Dublin,0.875,"$3,571","$3,350","$3,300","$3,800",SIT,2018,No,SIT GES 2018,Bachelor in Science (Diagnostic Radiography) | SIT 2018
Bachelor in Science (Occupational Therapy),Trinity College Dublin,0.966,"$3,431","$3,460","$3,300","$3,610",SIT,2018,No,SIT GES 2018,Bachelor in Science (Occupational Therapy) | SIT 2018
Bachelor in Science (Physiotherapy),Trinity College Dublin,1.000,"$3,276","$3,300","$3,000","$3,600",SIT,2018,No,SIT GES 2018,Bachelor in Science (Physiotherapy) | SIT 2018
Bachelor in Science (Radiation Therapy),Trinity College Dublin,0.000,$0,$0,$0,$0,SIT,2018,Suppressed,SIT GES 2018,Bachelor in Science (Radiation Therapy) | SIT 2018
Bachelor of Science in Chemical Engineering,Technische Universität München,0.755,"$3,298","$3,200","$3,000","$3,550",SIT,2018,No,SIT GES 2018,Bachelor of Science in Chemical Engineering | SIT 2018
